class_id,name,category
121,Road with a contraflow cycle lane,5 Special regulations
122,End of road with a contraflow bus lane,5 Special regulations
123,End of road with a contraflow cycle lane,5 Special regulations
124,Exit to road with a contraflow bus lane,5 Special regulations
125,Exit to road with a contraflow cycle lane,5 Special regulations
126,Bus lane,5 Special regulations
127,End of bus lane,5 Special regulations
128,Cycle lane,5 Special regulations
129,End of cycle lane,5 Special regulations
130,Lane directions,5 Special regulations
131,End of the lane,5 Special regulations
132,Number of lanes,5 Special regulations
133,Bus andor trolleybus stop location,5 Special regulations
134,Tram stop location,5 Special regulations
135,Parking place for passenger taxis,5 Special regulations
136,Residential area,5 Special regulations
137,End of residential area,5 Special regulations
138,Built-up area begins,5 Special regulations
139,End of built-up area,5 Special regulations
140,No parking zone,5 Special regulations
141,End of no parking zone,5 Special regulations
142,Regulated parking zone,5 Special regulations
143,End of the regulated parking zone,5 Special regulations
144,Maximum speed limit zone - 30,5 Special regulations
145,End of maximum speed limit zone - 30,5 Special regulations
146,Pedestrian zone,5 Special regulations
147,End of pedestrian zone,5 Special regulations
148,General maximum speed limits,6 Information
149,Recommended speed - 50,6 Information
150,Place for a U-turn,6 Information
151,The area for a U-turn,6 Information
152,Parking (parking space),6 Information
153,Emergency stop lane,6 Information
154,Underground pedestrian crossing,6 Information
155,Above ground pedestrian crossing,6 Information
156,Deadlock,6 Information
157,Preliminary direction indicator,6 Information
158,Traffic scheme,6 Information
159,Direction indicator,6 Information
160,Distance indicator,6 Information
161,Kilometre marker,6 Information
162,Route number,6 Information
163,Truck route,6 Information
164,Stop line,6 Information
165,Point of medical care,7 Service
166,Hospital,7 Service
167,Gas station,7 Service
168,Vehicle maintenance,7 Service
169,Car washing,7 Service
170,Phone,7 Service
171,Food point,7 Service
172,Drinking water,7 Service
173,Hotel or motel,7 Service
174,Camping,7 Service
175,Place of rest,7 Service
176,Traffic police post,7 Service
177,Police,7 Service
178,Transport control point,7 Service
179,Pool or beach,7 Service
180,Toilet,7 Service
181,Emergency telephone number,7 Service
182,Fire extinguisher,7 Service
183,Distance to the object,8 Additional
184,Coverage area,8 Additional
185,Type of vehicle,8 Additional
186,Except for the type of vehicle,8 Additional
187,"Saturdays, Sundays and holidays",8 Additional
188,Working days,8 Additional
189,Validity period,8 Additional
190,Method of parking the vehicle,8 Additional
191,Parking with an idle engine,8 Additional
192,Paid services,8 Additional
193,Limitation of parking duration,8 Additional
194,Place for car inspection,8 Additional
195,Limitation of the permitted maximum mass,8 Additional
196,Dangerous roadside,8 Additional
197,Priority road,1 Priority
198,Traffic lane,8 Additional
199,Blind pedestrians,8 Additional
